TIME(10ms),JKA01\JKA01\CTEC_ATAG0@Out.Val(1#核功率),JKA02\JKA01\CTEC_ATAG0@Out.Val(2#核功率),N00\JEG\CTEC_ATAG0@Out.Val(1#一回路压力),N00\JEG\CTEC_ATAG1@Out.Val(2#一回路压力),N00\HEC01\CTEC_ATAG0@Out.Val(1#一回路流量),N20\HEC02\CTEC_ATAG0@Out.Val(2#一回路流量),N00\HEC01\CTEC_ATAG3@Out.Val(1#氦风机转速),N20\HEC02\CTEC_ATAG3@Out.Val(2#氦风机转速),N00\HEC01\CTEC_ATAG1@Out.Val(1#热氦温度),N20\HEC02\CTEC_ATAG1@Out.Val(2#热氦温度),N00\HEC01\CTEC_ATAG2@Out.Val(1#冷氦温度),N20\HEC02\CTEC_ATAG2@Out.Val(2#冷氦温度),N00\HEC01\CTEC_ATAG5@Out.Val(1#热功率),N20\HEC02\CTEC_ATAG5@Out.Val(2#热功率),T00\LBA002\CTEC_ATAG0@Out.Val(1#SG出口温度),T00\LBA003\CTEC_ATAG0@Out.Val(2#SG出口温度),T00\LBA002\1LBA10CP801A@Out.Val(1#SG出口压力),T00\LBA003\2LBA10CP801A@Out.Val(2#SG出口压力),T00\LBA002\1LAB10CF001@Out.Val(1#给水流量),T00\LBA003\2LAB10CF001@Out.Val(2#给水流量),T00\LAB001\CTEC_ATAG23@Out.Val(1#给水温度),T00\LAB001\CTEC_ATAG25@Out.Val(2#给水温度),T00\LBA001\CTEC_ATAG10@Out.Val(蒸汽母管温度),T00\LBA001\CTEC_ATAG9@Out.Val(蒸汽母管压力),T00\LBA001\CTEC_ATAG26@Out.Val(主蒸汽流量),E00\GEN\CTEC_ATAG0@Out.Val(发电机功率),E00\GEN\CTEC_ATAG1@Out.Val(汽轮机转速)
9,186.0086,186.002,7.005621,6.982824,130.0033,129.9983,3876.818,3887.846,556.9254,557.3409,264.4197,264.5186,202.8322,203.0506,519.763,521.0192,11.03352,11.0335,78.05058,77.93567,191.9807,191.9868,520.2446,11.00028,156.1422,169.6284,3000
20,186.0086,186.002,7.005619,6.982825,130.0023,129.9985,3876.802,3887.859,556.9254,557.341,264.4189,264.5199,202.81,203.0608,519.7618,521.0192,11.03335,11.03333,78.01108,77.96949,191.9809,191.9865,520.2437,11.0001,156.1391,169.6284,3000
31,186.0083,186.0023,7.005619,6.982825,130.0023,129.9985,3876.802,3887.859,556.9254,557.341,264.4189,264.5199,202.81,203.0608,519.761,521.0191,11.03324,11.03322,77.93817,78.00068,191.9812,191.9864,520.2433,11,156.1369,169.6248,3000
42,186.0083,186.0023,7.005619,6.982827,130.0018,129.9989,3876.798,3887.868,556.9254,557.3409,264.4182,264.5213,202.8158,203.0413,519.7603,521.0192,11.03313,11.03311,77.89874,78.01942,191.9814,191.9861,520.2428,10.99989,156.135,169.6248,3000
53,186.0086,186.002,7.005619,6.982827,130.0018,129.9989,3876.798,3887.868,556.9254,557.3409,264.4182,264.5213,202.8158,203.0413,519.7596,521.0194,11.03301,11.033,77.8717,78.06557,191.9816,191.9859,520.2422,10.99977,156.133,169.6248,3000
64,186.0086,186.002,7.005619,6.982828,130.0014,129.9989,3876.799,3887.868,556.9254,557.3409,264.418,264.5213,202.7878,203.0413,519.759,521.0195,11.03291,11.03291,77.86898,78.15911,191.9817,191.9855,520.2416,10.99967,156.131,169.6219,3000
75,186.0085,186.0017,7.005619,6.982828,130.0014,129.9997,3876.799,3887.871,556.9254,557.3409,264.418,264.5229,202.7878,203.0259,519.7585,521.0201,11.03282,11.03283,77.92226,78.23167,191.9817,191.9851,520.2411,10.99959,156.1294,169.6219,3000
86,186.0085,186.0017,7.005619,6.982828,130.0014,129.9997,3876.799,3887.871,556.9254,557.3409,264.418,264.5229,202.7878,203.0259,519.7581,521.0205,11.03274,11.03277,77.92662,78.26458,191.9817,191.9848,520.2408,10.99952,156.128,169.6189,3000
96,186.0075,186.0022,7.005618,6.98283,130.0004,129.9995,3876.803,3887.867,556.9254,557.3411,264.4184,264.5243,202.767,203.0398,519.7577,521.0211,11.03268,11.03271,77.97756,78.27353,191.9815,191.9846,520.2407,10.99946,156.1267,169.6189,3000
107,186.0075,186.0022,7.005618,6.98283,130.0004,129.9995,3876.803,3887.867,556.9254,557.3411,264.4184,264.5243,202.767,203.0398,519.7574,521.0217,11.03262,11.03267,77.98289,78.27949,191.9815,191.9845,520.2407,10.99941,156.1267,169.6208,3000
